5,"{'custom_label': 'B0007XQXCE', 'no_of_times_sold': -1, 'product_name': b'Manhasset 1700 Model Floor Protectors, Music Stand Accessory', 'date_of_listing': '2018-02-18', 'price': '8.54', 'ebay_id': '263504073486', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635040734866464_1.jpg'}"
6,"{'custom_label': 'B003B0M52W', 'no_of_times_sold': -1, 'product_name': b'Manhasset 5601 Model #56 Wall Music Stand', 'date_of_listing': '2018-02-18', 'price': '46.72', 'ebay_id': '263504073733', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635040737336464_1.jpg'}"
7,"{'custom_label': 'B0002Q8TU0', 'no_of_times_sold': -1, 'product_name': b'Alltrade 648827 10mm 7-1/2-Inch Jam Nut Valve Adjustment Tool', 'date_of_listing': '2018-01-19', 'price': '16.71', 'ebay_id': '263446798412', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2634467984126464_1.jpg'}"
8,"{'custom_label': 'B06X9CZSC7', 'no_of_times_sold': -1, 'product_name': b'NIRVANA Hair Brush Sponge Twist Wave Barber Tool For Dreads Afro Locs Twist Curl', 'date_of_listing': '2018-03-21', 'price': '9.2', 'ebay_id': '263562016909', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635620169096464_1.jpg'}"
9,"{'custom_label': 'B06XHHRQ3W', 'no_of_times_sold': -1, 'product_name': b'COIL I.T. 1 OZ Size SET | For Perfect Hair Coils with Mini RED Hair Sponge for M', 'date_of_listing': '2018-03-21', 'price': '19.2', 'ebay_id': '263562016933', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635620169336464_1.jpg'}"
10,"{'custom_label': 'B07B46TFP1', 'no_of_times_sold': -1, 'product_name': b'Big Holes Hair Brush Sponge Twist Wave Barber Tool For Dreads Afro Locs Twist Cu', 'date_of_listing': '2018-03-21', 'price': '8.7', 'ebay_id': '263562016958', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635620169586464_1.jpg'}"
1,"{'custom_label': 'B0786GSL5C', 'no_of_times_sold': -1, 'product_name': b'Hair Rollers, Amaeutty Sleep Styler And Hair Curlers No Heat for Long&Short Hair', 'date_of_listing': '2018-03-21', 'price': '16.7', 'ebay_id': '263562019458', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635620194586464_1.jpg'}"
2,"{'custom_label': 'B0112X6DRM', 'no_of_times_sold': -1, 'product_name': b'COIL I.T. 1 OZ Size SET | Nudred Hair Products For Perfect Hair Coils with Mini', 'date_of_listing': '2018-03-21', 'price': '14.21', 'ebay_id': '263562020633', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635620206336464_1.jpg'}"
3,"{'custom_label': 'B073WG1TH1', 'no_of_times_sold': -1, 'product_name': b'HALLO Hair Twist Black Ice Sponge For Afro Braid, Dreadlock Coils Curl Brushes Y', 'date_of_listing': '2018-03-21', 'price': '10.33', 'ebay_id': '263562021921', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635620219216464_1.jpg'}"
4,"{'custom_label': 'B078H7Y9TC', 'no_of_times_sold': -1, 'product_name': b'HALLO Big Holes Hair Brush Sponge Twist Wave Barber Tool For Dreads Afro Locs Tw', 'date_of_listing': '2018-03-21', 'price': '16.33', 'ebay_id': '263562022330', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635620223306464_1.jpg'}"
5,"{'custom_label': 'B013I0HVEG', 'no_of_times_sold': -1, 'product_name': b'RioRand Magic Twist hair brush sponge (10mm hole)', 'date_of_listing': '2018-03-21', 'price': '10.45', 'ebay_id': '263562022484', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635620224846464_1.jpg'}"
6,"{'custom_label': 'B0112X4DF6', 'no_of_times_sold': -1, 'product_name': b'Moisturize I.T. Bottle | Nudred Hair Products Best Daily Moisturizer | The Origi', 'date_of_listing': '2018-03-21', 'price': '20.46', 'ebay_id': '263562024142', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635620241426464_1.jpg'}"
7,"{'custom_label': 'B0743DZJ83', 'no_of_times_sold': -1, 'product_name': b'RioRand Magic Barber Sponge Twist Hair Brush for Afros, Coils, Dreadlocks Hair S', 'date_of_listing': '2018-03-21', 'price': '12.95', 'ebay_id': '263562024926', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635620249266464_1.jpg'}"
